experiment,seed,window,accuracy,alert_level,cosine_drift,max_jsd,max_wasserstein
Covariate,6,10,0.8423423423423423,warning,0.00043660402297973633,0.10554037555373244,0.26479581186966344
Covariate,6,11,0.8251433251433251,warning,0.000590980052947998,0.11085808979795922,0.2723394112263799
Covariate,6,12,0.8517608517608518,critical,0.0008849501609802246,0.10541319516107467,0.2825674797185129
Covariate,6,13,0.8382473382473382,critical,0.0006392002105712891,0.10705275894977748,0.2748915586925624
Covariate,6,14,0.8321048321048321,critical,9.697675704956055e-05,0.10769561243767979,0.2815938180490665
Covariate,6,15,0.8341523341523341,critical,0.0009157657623291016,0.12607374517713352,0.48474414037797703
Covariate,6,16,0.8157248157248157,critical,0.00018078088760375977,0.13651646819737961,0.4469130022652601
Covariate,6,17,0.8235053235053235,critical,0.0004750490188598633,0.12923790137577576,0.4861220969774388
Covariate,6,18,0.8226863226863227,critical,0.0011819005012512207,0.14985131083577624,0.504240700309212
Covariate,6,19,0.8306055646481179,critical,0.000532984733581543,0.1359252666096093,0.4923724134184661
Covariate,7,1,0.8341523341523341,ok,0.0010231733322143555,0.0036520500189750954,0.06783010218087296
Covariate,7,2,0.8439803439803439,ok,0.0003249049186706543,0.002958310245108598,0.04223377900339212
Covariate,7,3,0.8427518427518428,ok,0.0005246996879577637,0.0032250356637194477,0.0487710580702762
Covariate,7,4,0.8488943488943489,warning,0.0011409521102905273,0.002923870412983279,0.09239830450558327
Covariate,7,5,0.8542178542178542,warning,0.0005400776863098145,0.002686296783936091,0.0398828715150722
Covariate,7,6,0.8435708435708436,warning,0.0006797909736633301,0.003641838241216942,0.0560784365535224
Covariate,7,7,0.8411138411138411,ok,0.0009295344352722168,0.0033663572018023244,0.06195676342388158
Covariate,7,8,0.8472563472563472,ok,0.00035458803176879883,0.0034806537320835797,0.04870168590078391
Covariate,7,9,0.855036855036855,ok,0.0005064606666564941,0.0035634812731676338,0.04631359240607578
Covariate,7,10,0.8267813267813268,warning,0.0012343525886535645,0.06332590286359678,0.3926973024830448
Covariate,7,11,0.8431613431613432,warning,0.000966191291809082,0.058348697398515725,0.3661586160037254
Covariate,7,12,0.8493038493038493,critical,0.0011305809020996094,0.06778011389204593,0.3842032943530173
Covariate,7,13,0.8423423423423423,critical,0.0007708072662353516,0.06893747031286712,0.40657316140033817
Covariate,7,14,0.8312858312858313,critical,0.0019747018814086914,0.05769908495857398,0.4025247563660144
Covariate,7,15,0.8157248157248157,critical,0.0037488341331481934,0.13903522431656223,0.6589671338268708
Covariate,7,16,0.8173628173628174,critical,0.0038698315620422363,0.13793644984762238,0.6373634407979251
Covariate,7,17,0.8267813267813268,critical,0.004248917102813721,0.1355818390130875,0.6723357327333914
Covariate,7,18,0.8177723177723177,critical,0.00501781702041626,0.13211346223311238,0.6879876541369654
Covariate,7,19,0.8289689034369886,critical,0.003248751163482666,0.13321960761756632,0.6696031815945721
Covariate,8,1,0.8513513513513513,ok,0.0005845427513122559,0.003337223584285012,0.04254801742145011
Covariate,8,2,0.8476658476658476,ok,0.0012240409851074219,0.0027082800984816946,0.07661759497156949
Covariate,8,3,0.8443898443898444,ok,0.0006290078163146973,0.004166438885402333,0.055923289283011726
Covariate,8,4,0.8456183456183456,ok,0.0012997984886169434,0.0030439905394684273,0.0820292470782971
Covariate,8,5,0.8546273546273546,ok,0.0008862614631652832,0.002869223198398525,0.058875963235629485
Covariate,8,6,0.8394758394758395,warning,0.0019500255584716797,0.0036318915047183938,0.11168105172884937
